date,temp,bat
2021-Apr-24 06:03,0,4.15
2021-Apr-24 06:04,0,4.13
2021-Apr-24 06:26,0,4.14
2021-Apr-24 06:28,0,4.14
2021-Apr-24 07:01,0,4.13
2021-Apr-24 08:01,0,4.11
2021-Apr-24 09:01,0,4.09
2021-Apr-24 10:01,0,4.09
2021-Apr-24 11:01,0,4.09
2021-Apr-24 12:01,0,4.09
2021-Apr-24 13:01,0,4.09
2021-Apr-24 14:01,0,4.09
2021-Apr-24 15:01,0,4.09
2021-Apr-24 16:01,0,4.09
2021-Apr-24 17:01,0,4.08
2021-Apr-24 18:01,0,4.08
2021-Apr-24 19:01,,
2021-Apr-24 20:01,0,4.08
2021-Apr-24 21:01,0,4.08
2021-Apr-24 22:01,0,4.07
2021-Apr-24 23:01,0,4.07
2021-Apr-25 00:01,0,4.07
2021-Apr-25 01:01,0,4.07
2021-Apr-25 02:01,0,4.07
2021-Apr-25 03:01,0,4.07
2021-Apr-25 04:01,0,4.06
2021-Apr-25 05:01,0,4.06
2021-Apr-25 06:01,0,4.06
2021-Apr-25 07:01,0,4.06
2021-Apr-25 07:30,,
2021-Apr-25 08:01,0,4.06
2021-Apr-25 09:01,0,4.06
2021-Apr-25 10:01,0,4.05
2021-Apr-25 11:01,0,4.05
2021-Apr-25 12:01,0,4.05
2021-Apr-25 13:01,0,4.05
2021-Apr-25 14:01,0,4.05
2021-Apr-25 15:01,0,4.05
2021-Apr-25 16:01,0,4.04
2021-Apr-25 17:01,0,4.04
2021-Apr-25 18:01,0,4.04
2021-Apr-25 19:01,0,4.04
2021-Apr-25 20:01,0,4.04
2021-Apr-25 21:01,0,4.04
2021-Apr-25 22:01,0,4.03
2021-Apr-25 23:01,0,4.03
2021-Apr-26 00:01,0,4.03
2021-Apr-26 01:01,0,4.03
2021-Apr-26 02:01,0,4.03
2021-Apr-26 03:01,0,4.03
2021-Apr-26 04:01,0,4.03
2021-Apr-26 05:01,0,4.02
2021-Apr-26 06:01,0,4.02
2021-Apr-26 07:01,0,4.02
2021-Apr-26 08:01,0,4.02
2021-Apr-26 09:01,0,4.02
2021-Apr-26 10:01,0,4.02
2021-Apr-26 11:01,0,4.01
2021-Apr-26 12:01,0,4.01
2021-Apr-26 13:01,0,4.01
2021-Apr-26 14:01,0,4.01
2021-Apr-26 15:01,0,4.01
2021-Apr-26 16:01,0,4.01
2021-Apr-26 17:01,0,4.00
2021-Apr-26 18:01,0,4.00
2021-Apr-26 19:01,0,4.00
2021-Apr-26 20:01,0,4.00
2021-Apr-26 21:01,0,4.00
2021-Apr-26 22:01,0,3.99
2021-Apr-26 23:01,0,3.99
2021-Apr-27 00:01,0,3.99
2021-Apr-27 01:01,0,3.99
2021-Apr-27 02:01,0,3.99
2021-Apr-27 03:01,0,3.99
2021-Apr-27 04:01,0,3.98
2021-Apr-27 05:01,0,3.98
2021-Apr-27 06:01,0,3.98
2021-Apr-27 07:01,0,3.98
2021-Apr-27 08:01,0,3.98
2021-Apr-27 09:01,0,3.98
2021-Apr-27 10:01,0,3.97
2021-Apr-27 11:01,0,3.97
2021-Apr-27 12:01,0,3.97
2021-Apr-27 13:01,0,3.97
2021-Apr-27 14:01,0,3.97
2021-Apr-27 15:01,0,3.97
2021-Apr-27 16:01,0,3.97
2021-Apr-27 17:01,0,3.96
2021-Apr-27 18:01,0,3.96
2021-Apr-27 19:01,0,3.96
2021-Apr-27 20:01,0,3.96
2021-Apr-27 21:01,,
2021-Apr-27 22:01,0,3.95
2021-Apr-27 23:01,0,3.95
2021-Apr-28 00:01,0,3.95
2021-Apr-28 01:01,0,3.95
2021-Apr-28 02:01,0,3.95
2021-Apr-28 03:01,0,3.95
2021-Apr-28 04:01,0,3.94
2021-Apr-28 05:01,0,3.94
2021-Apr-28 06:01,0,3.94
2021-Apr-28 07:01,0,3.94
2021-Apr-28 08:01,0,3.94
2021-Apr-28 09:01,0,3.94
2021-Apr-28 10:01,0,3.94
2021-Apr-28 11:01,0,3.94
2021-Apr-28 12:01,0,3.93
2021-Apr-28 13:01,0,3.93
2021-Apr-28 14:01,0,3.93
2021-Apr-28 15:01,0,3.93
2021-Apr-28 16:01,0,3.92
2021-Apr-28 17:01,0,3.92
2021-Apr-28 18:01,0,3.92
2021-Apr-28 19:01,,
2021-Apr-28 20:01,0,3.92
2021-Apr-28 21:01,0,3.92
2021-Apr-28 22:01,0,3.91
2021-Apr-28 23:01,0,3.91
2021-Apr-29 00:01,0,3.91
2021-Apr-29 01:01,0,3.91
2021-Apr-29 02:01,0,3.91
2021-Apr-29 03:01,0,3.91
2021-Apr-29 04:01,0,3.90
2021-Apr-29 05:01,0,3.90
2021-Apr-29 06:01,0,3.90
2021-Apr-29 07:01,0,3.90
2021-Apr-29 08:01,0,3.90
2021-Apr-29 09:01,0,3.89
2021-Apr-29 10:01,0,3.89
2021-Apr-29 11:01,0,3.89
2021-Apr-29 12:01,0,3.89
2021-Apr-29 13:01,0,3.89
2021-Apr-29 14:01,0,3.89
2021-Apr-29 15:01,0,3.89
